method,metric,n_trajectories,resamples,seed,confidence_level,mean,mean_ci_low,mean_ci_high,median,median_ci_low,median_ci_high,q25,q75,iqr
estimator_rank_2::local_poly_w7_d3_lag1::one_step_governed_pva_ruckig,position_mae,120,10000,20271726,0.95,0.03528473930163469,0.020568380896399865,0.05465748593617138,0.010774787958622835,0.009550496835593688,0.01329233495746435,0.004581881062016868,0.019178292905006042,0.014596411842989175
estimator_rank_2::local_poly_w7_d3_lag1::predicted_p,position_mae,120,10000,20271727,0.95,0.14606283790121982,0.10898844107080727,0.18927891655585344,0.061887354852588304,0.04446143406614797,0.11840192189927731,0.021331500579180422,0.18659610795485754,0.1652646073756771
estimator_rank_2::local_poly_w7_d3_lag1::raw_predicted_pv,position_mae,120,10000,20271728,0.95,0.1445431170413151,0.10773898579990775,0.1881938423738404,0.06155841052985372,0.044401329628762955,0.11304899969928243,0.021337277530946167,0.18218459680310212,0.16084731927215595
estimator_rank_2::local_poly_w7_d3_lag1::scalar_projected_pva,position_mae,120,10000,20271729,0.95,0.03538437389147945,0.020406029324225312,0.05462473806345474,0.010774787968626093,0.009550496839168655,0.013292334898312417,0.004581881213729409,0.019178295375507252,0.014596414161777843
estimator_rank_3::ca_kf_s1e-06_q100::deployed_p_only,position_mae,120,10000,20271730,0.95,0.14594846987111448,0.10969200474605473,0.18968158797690815,0.061887314757354664,0.04468189150425065,0.11913103154638383,0.021331419748567663,0.1865794052276873,0.16524798547911962
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_direct,position_mae,120,10000,20271731,0.95,0.03048559853452688,0.019527857645499705,0.04406964436359126,0.01058957270046294,0.008006041980465688,0.012690024175765965,0.004319233181831524,0.018645947279000753,0.014326714097169228
estimator_rank_3::ca_kf_s1e-06_q100::jerk_qp_pva_ruckig,position_mae,120,10000,20271732,0.95,0.03048559856285526,0.01950271070695263,0.04371612807512621,0.01058957269927606,0.007864009004814737,0.01269829116973039,0.004319233181792928,0.01864594722946896,0.014326714047676032
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_direct,position_mae,120,10000,20271733,0.95,0.03456322886692904,0.020073902366187394,0.053698291000577214,0.010596361335749885,0.008745167305984167,0.012789976738369584,0.004343517921554649,0.01912854583584038,0.01478502791428573
estimator_rank_3::ca_kf_s1e-06_q100::one_step_governed_pva_ruckig,position_mae,120,10000,20271734,0.95,0.03456322582104654,0.020302779638807715,0.05315650784725647,0.010596361335561166,0.008812107588087134,0.012789977866666514,0.004343517921557958,0.019128541945925587,0.014785024024367628
estimator_rank_3::ca_kf_s1e-06_q100::predicted_p,position_mae,120,10000,20271735,0.95,0.14597729385156946,0.10932050598917074,0.18980946786788688,0.061887314782507544,0.0450216266383249,0.11913103162571312,0.02133141982289091,0.1871341623165703,0.16580274249367938
estimator_rank_3::ca_kf_s1e-06_q100::raw_predicted_pv,position_mae,120,10000,20271736,0.95,0.1445174189822356,0.1067351248629854,0.18775323887576803,0.06155839178551813,0.04440128349260411,0.11529272107396718,0.02133725649350357,0.1821844539738943,0.16084719748039072
estimator_rank_3::ca_kf_s1e-06_q100::scalar_projected_pva,position_mae,120,10000,20271737,0.95,0.03872620075767641,0.02286687360749098,0.05888837573561446,0.010596361335749885,0.008812107578613122,0.012906606234311824,0.004343517921554649,0.01912854583584038,0.01478502791428573
jerk_qp_pva_direct,position_mae,120,10000,20271738,0.95,0.0308773928855132,0.020071340887926097,0.044225720295505484,0.010714652882247749,0.008828547374054535,0.013073836041975453,0.004430996567135083,0.019283125136294425,0.014852128569159342
jerk_qp_pva_ruckig,position_mae,120,10000,20271739,0.95,0.030877392773606786,0.019816031561641006,0.04441074484853199,0.010714652885767147,0.00883558275111307,0.013106082783269508,0.004430997390626625,0.01928312527694762,0.014852127886320995
one_step_governed_pva_direct,position_mae,120,10000,20271740,0.95,0.035113932900706794,0.02066873135468487,0.054857568245753406,0.010813001486862489,0.009591998538360017,0.013550144849712734,0.004576155511017442,0.01930056847041929,0.014724412959401849
one_step_governed_pva_ruckig,position_mae,120,10000,20271741,0.95,0.03511393289450885,0.020295506413121216,0.0540504307321101,0.010813001492936448,0.009808254489308053,0.013550144900867445,0.00457615561942726,0.019300565650565104,0.014724410031137844
