max_velocity_limit,max_acceleration_limit,max_jerk_limit,dataset,method,explicit_delay_ms,prediction_lookahead_ms,minimum_duration_ms,target_state_mode,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,target_projection_rate,target_max_velocity,target_max_acceleration,target_p99_jerk,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,trajectory_duration_max_ms,reachable_within_lookahead_rate,output_max_velocity,output_max_acceleration,output_max_jerk,estimator_compute_p50_us,estimator_compute_p99_us,ruckig_compute_p99_us
4.1,8.2,80.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.08682878624237228,0.049868011170318485,0.3672517979914197,160.0,0.05734497433943683,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,248.3731965424709,538.2287725723146,814.1981462469391,1177.4297135045783,0.023772609819121448,2.020501312719772,8.2,80.00000000000007,1.083,6.693559999999976,2.042
4.1,8.2,200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06880426093551346,0.0370215256897423,0.30621168528523246,110.0,0.04804750773400134,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,163.14311746744997,375.63496645443615,651.1304130880147,934.5602162457507,0.05581395348837209,2.471506431506453,8.2,200.00000000000009,1.084,2.110719999999994,1.985719999999994
4.1,8.2,400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.052308972418236926,0.028075122658715375,0.24547608786346517,70.0,0.03969130323067257,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,121.00755730759225,316.3852277903179,565.0642486596686,930.4521080218333,0.1276485788113695,2.386656256478076,8.2,400.00000000000006,1.084,2.860719999999994,2.901559999999976
4.1,8.2,800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.059009637509237066,0.03054031263204866,0.2655014682906816,90.0,0.04413370370334648,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,101.44250271730299,321.2349788482742,533.5939937073532,734.2255693516921,0.23359173126614988,2.3745050570120894,8.200000000000001,800.0,1.084,4.498999999999963,3.985719999999994
4.1,8.2,1600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.04820957696563283,0.022969494134470504,0.25850257039148833,50.0,0.04188251935710183,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,77.06735316712016,304.31017295023526,519.0172613391558,854.481214778493,0.324031007751938,2.282075965954286,8.200000000000001,1600.0,1.084,6.2592799999998965,2.7634399999999877
4.1,8.2,3200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.048001524783004325,0.022849861766689537,0.2602601400483989,50.0,0.04211362230848172,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,73.62937975464177,300.0176258049754,505.1691710698618,851.170710214466,0.35658914728682173,2.2724302476599494,8.2,1639.9999999999998,1.083,1.527059999999994,1.708
4.1,8.2,6400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.05236234244951065,0.0251570251118553,0.2681827742142308,60.0,0.045226145987435365,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,72.46797723012119,303.97567904354463,501.2757726816399,842.971762250016,0.3648578811369509,2.2491088505335903,8.200000000000001,1639.9999999999998,1.083,1.4860599999999942,1.5
4.1,8.2,12800.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.05004297065079721,0.024439023638693717,0.27432672655438173,60.0,0.04333656876705989,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,71.03332863450609,294.0067265129604,511.8000254433548,842.649809401434,0.379328165374677,2.271662581951081,8.2,1639.9999999999998,1.083,1.417,1.417
4.1,8.2,19200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.05165230047806466,0.025157925882331046,0.2774862276872002,60.0,0.044405475402067976,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,72.01080477868955,293.57615502884283,508.18959584907986,830.3065056947697,0.3798449612403101,2.251322899943343,8.2,1639.9999999999998,1.083,1.375,1.3336599999999998
4.1,8.2,25600.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.05026666335436103,0.024158759758931277,0.2677089905890279,60.0,0.0429269928163632,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,69.90497388325211,291.17667979993035,498.84087571053675,826.8983183821997,0.38449612403100775,2.2478745719266153,8.2,1639.9999999999998,1.083,1.375,1.3190599999999941
4.1,8.2,38400.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.050121039900632096,0.024115301920428572,0.2714812820256762,60.0,0.04276566447421295,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,70.81886620537671,287.3995462128534,505.53200177124535,829.9113693917609,0.379328165374677,2.2593704536198906,8.2,1639.9999999999998,1.083,1.334,1.3336599999999998
4.1,8.2,51200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.051578232763219795,0.025059581403881825,0.26216935873852004,60.0,0.04466428381055212,0.2955503512880562,2.236175337423507,8.199999918,1639.9999835999993,70.06422913229802,301.4646342903928,507.39604736590314,831.3866710206023,0.38449612403100775,2.265036408599634,8.2,1639.9999999999998,1.083,1.4166599999999998,1.277719999999994
4.1,12.0,20.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,1.096260491655335,0.8264413104747543,2.4553447884794775,1000.0,1.006846502572314,0.22903981264637002,2.236175337423507,11.999999879999999,2351.320540682809,1671.9972844769115,2669.09906645223,3287.8113974843704,3555.108603400722,0.007235142118863049,4.1,11.366563733831754,20.000000000000018,1.083,1.375,0.917
4.1,12.0,41.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.32014858926441814,0.2046011696822476,1.1475712978434311,550.0,0.21898909938321703,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,730.9222168965854,1259.5570353315727,1650.72874180731,1822.3421612941947,0.011886304909560724,2.541736653712155,12.0,41.000000000000014,1.083,1.375,0.959
4.1,12.0,80.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.1468596565002387,0.07453386945928844,0.8063136127472408,340.0,0.08952585390829798,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,303.2790521689962,604.8116840435755,837.8795262363618,1015.2938627468076,0.023772609819121448,2.4789911419183728,12.0,80.00000000000007,1.083,1.417,1.2086599999999998
4.1,12.0,200.0,csv,"3-point central (10 ms lag, 50 ms lookahead)",10.0,50.0,50.0,full,0.06118702111937435,0.03221153580744387,0.28358972990913695,80.0,0.04998275091289346,0.21967213114754097,2.5341160475094355,11.999999879999999,2399.9999759999987,164.8699555280139,366.4910240274494,585.4351380760686,806.7474637123466,0.050645994832041345,2.2246805067279323,12.0,200.00000000000009,1.083,1.5836599999999998,1.5547799999999878
