method,jerk_semantic,max_abs_jerk
jerk_qp_pva_direct,internal_profile,19.248861675855178
jerk_qp_pva_direct,internal_profile,19.668818607449488
jerk_qp_pva_direct,internal_profile,19.751030492624647
jerk_qp_pva_direct,internal_profile,19.827239462301005
jerk_qp_pva_direct,internal_profile,19.96099268528471
jerk_qp_pva_direct,internal_profile,2.443054032194613
jerk_qp_pva_direct,internal_profile,20.152228758704055
jerk_qp_pva_direct,internal_profile,20.18536120302321
jerk_qp_pva_direct,internal_profile,20.462670598298303
jerk_qp_pva_direct,internal_profile,20.98409666311168
jerk_qp_pva_direct,internal_profile,21.051909777487392
jerk_qp_pva_direct,internal_profile,21.33422232784855
jerk_qp_pva_direct,internal_profile,21.40357693197438
jerk_qp_pva_direct,internal_profile,21.74838173096714
jerk_qp_pva_direct,internal_profile,21.992779325319063
jerk_qp_pva_direct,internal_profile,217.28626959177774
jerk_qp_pva_direct,internal_profile,22.103193679856325
jerk_qp_pva_direct,internal_profile,22.56067855623338
jerk_qp_pva_direct,internal_profile,23.271141367918926
jerk_qp_pva_direct,internal_profile,23.773512582269596
jerk_qp_pva_direct,internal_profile,23.908825325766923
jerk_qp_pva_direct,internal_profile,24.062692955947266
jerk_qp_pva_direct,internal_profile,241.5556381482817
jerk_qp_pva_direct,internal_profile,249.01008373530212
jerk_qp_pva_direct,internal_profile,26.739980805702512
jerk_qp_pva_direct,internal_profile,27.62553018269016
jerk_qp_pva_direct,internal_profile,28.574738410398393
jerk_qp_pva_direct,internal_profile,28.790724458634674
jerk_qp_pva_direct,internal_profile,284.0840776835222
jerk_qp_pva_direct,internal_profile,293.1687409117253
jerk_qp_pva_direct,internal_profile,3.9419224079881188
jerk_qp_pva_direct,internal_profile,32.70914173544622
jerk_qp_pva_direct,internal_profile,325.83466698006436
jerk_qp_pva_direct,internal_profile,336.4995440341493
jerk_qp_pva_direct,internal_profile,35.01059339607537
jerk_qp_pva_direct,internal_profile,35.69562489520784
jerk_qp_pva_direct,internal_profile,357.133992652143
jerk_qp_pva_direct,internal_profile,37.76894363293112
jerk_qp_pva_direct,internal_profile,37.83316016101136
jerk_qp_pva_direct,internal_profile,37.99933020317059
jerk_qp_pva_direct,internal_profile,38.634388371681815
jerk_qp_pva_direct,internal_profile,38.645635904791675
jerk_qp_pva_direct,internal_profile,38.98920614021457
jerk_qp_pva_direct,internal_profile,39.62524041242622
jerk_qp_pva_direct,internal_profile,39.66115783204318
jerk_qp_pva_direct,internal_profile,39.671419623466655
jerk_qp_pva_direct,internal_profile,391.8494267292203
jerk_qp_pva_direct,internal_profile,394.0910926229986
jerk_qp_pva_direct,internal_profile,4.625539344424407
