method,total_compute_us
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.125
deployed_p_only,149.166
deployed_p_only,149.166
deployed_p_only,149.166
deployed_p_only,149.166
deployed_p_only,149.166
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.167
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.208
deployed_p_only,149.209
deployed_p_only,149.209
deployed_p_only,149.209
deployed_p_only,149.209
deployed_p_only,149.209
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.25
deployed_p_only,149.291
deployed_p_only,149.291
deployed_p_only,149.291
deployed_p_only,149.292
deployed_p_only,149.292
deployed_p_only,149.292
deployed_p_only,149.292
deployed_p_only,149.292
deployed_p_only,149.292
deployed_p_only,149.292
deployed_p_only,149.333
deployed_p_only,149.333
deployed_p_only,149.333
deployed_p_only,149.333
deployed_p_only,149.333
deployed_p_only,149.333
deployed_p_only,149.334
deployed_p_only,149.334
deployed_p_only,149.334
deployed_p_only,149.334
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.375
deployed_p_only,149.416
deployed_p_only,149.416
deployed_p_only,149.416
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.417
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.458
deployed_p_only,149.459
deployed_p_only,149.459
deployed_p_only,149.459
deployed_p_only,149.459
deployed_p_only,149.459
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.5
deployed_p_only,149.541
deployed_p_only,149.541
deployed_p_only,149.541
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.542
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.583
deployed_p_only,149.584
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.625
deployed_p_only,149.666
deployed_p_only,149.666
deployed_p_only,149.667
deployed_p_only,149.667
deployed_p_only,149.667
deployed_p_only,149.667
deployed_p_only,149.708
deployed_p_only,149.708
deployed_p_only,149.708
deployed_p_only,149.709
deployed_p_only,149.709
deployed_p_only,149.709
deployed_p_only,149.709
deployed_p_only,149.709
deployed_p_only,149.709
deployed_p_only,149.709
deployed_p_only,149.75
deployed_p_only,149.75
deployed_p_only,149.75
deployed_p_only,149.75
deployed_p_only,149.75
deployed_p_only,149.75
deployed_p_only,149.75
deployed_p_only,149.791
deployed_p_only,149.791
deployed_p_only,149.791
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.792
deployed_p_only,149.833
deployed_p_only,149.833
deployed_p_only,149.833
deployed_p_only,149.833
deployed_p_only,149.833
deployed_p_only,149.833
deployed_p_only,149.833
deployed_p_only,149.834
deployed_p_only,149.834
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.875
deployed_p_only,149.916
deployed_p_only,149.917
deployed_p_only,149.917
deployed_p_only,149.917
deployed_p_only,149.917
deployed_p_only,149.917
deployed_p_only,149.958
deployed_p_only,149.958
deployed_p_only,149.958
deployed_p_only,149.958
deployed_p_only,149.958
deployed_p_only,149.958
deployed_p_only,149.958
deployed_p_only,149.959
deployed_p_only,149.959
deployed_p_only,149.959
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.0
deployed_p_only,150.041
deployed_p_only,150.041
deployed_p_only,150.041
deployed_p_only,150.042
deployed_p_only,150.042
deployed_p_only,150.042
deployed_p_only,150.083
deployed_p_only,150.083
deployed_p_only,150.083
deployed_p_only,150.083
deployed_p_only,150.083
deployed_p_only,150.083
deployed_p_only,150.084
deployed_p_only,150.084
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.125
deployed_p_only,150.166
deployed_p_only,150.166
deployed_p_only,150.167
deployed_p_only,150.167
deployed_p_only,150.167
deployed_p_only,150.208
deployed_p_only,150.208
deployed_p_only,150.208
deployed_p_only,150.208
deployed_p_only,150.209
deployed_p_only,150.209
deployed_p_only,150.25
deployed_p_only,150.25
deployed_p_only,150.25
deployed_p_only,150.25
deployed_p_only,150.25
deployed_p_only,150.25
deployed_p_only,150.25
deployed_p_only,150.291
deployed_p_only,150.291
deployed_p_only,150.291
deployed_p_only,150.291
deployed_p_only,150.291
deployed_p_only,150.292
deployed_p_only,150.292
deployed_p_only,150.292
deployed_p_only,150.333
deployed_p_only,150.333
deployed_p_only,150.333
deployed_p_only,150.333
deployed_p_only,150.333
deployed_p_only,150.334
deployed_p_only,150.375
deployed_p_only,150.375
