run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,response_sample_count,response_start_time_s,response_end_time_s,joint_index,joint_id,frequency_hz,gain,phase_rad,phase_delay_s,group_delay_s
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,jerk_qp_pva_ruckig,256,1,command_p,255,0.01,2.55,0,joint_0,0.8281948683327309,1.217553354412548,0.40451216635784687,-0.07773546212169649,0.36764937096343075
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__017,test,120817,clean,jerk_qp_pva_ruckig,256,1,command_p,255,0.01,2.55,0,joint_0,0.8306539417994366,1.2124109456240366,0.3987769264158601,-0.0764064501910249,0.37473738481584107
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,jerk_qp_pva_ruckig,413,1,command_p,412,0.01,4.12,0,joint_0,0.27832834428920694,1.1571982682553084,-0.09371582793300817,0.05358899863245499,2.932132612959104
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,jerk_qp_pva_ruckig,413,1,command_p,412,0.01,4.12,0,joint_0,0.5143739466655641,1.3640276877871946,-2.1211535886973714,0.6563164423212816,-0.19811225258545195
paper-evidence-v1-locked-test::jerk_qp_pva_ruckig,synthetic-feasible-v1,synthetic,oscillatory__test__020,test,120820,clean,jerk_qp_pva_ruckig,413,1,command_p,412,0.01,4.12,0,joint_0,0.6724949523256338,8.162346991324618,-0.882703328790291,0.20890357254699404,-2.2949844718484145
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,one_step_governed_pva_direct,262,1,command_p,261,0.01,2.61,0,joint_0,0.5974972976862298,2.6497315405602557,1.0121887696970866,-0.26961602447948285,0.8501531404609081
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,one_step_governed_pva_direct,262,1,command_p,261,0.01,2.61,0,joint_0,1.019866033571889,1.021007690704166,-0.0226748962234398,0.0035385253545673783,-0.07024850328606258
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__002,test,120802,clean,one_step_governed_pva_direct,262,1,command_p,261,0.01,2.61,0,joint_0,1.0974277279134148,1.0219263981098066,0.05274376935928598,-0.007649188550019505,-0.23926648425486755
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,one_step_governed_pva_direct,278,1,command_p,277,0.01,2.77,0,joint_0,0.6590389381141996,0.36558318203281476,-3.0479239059843217,0.736059931744586,2.248444083862847
paper-evidence-v1-locked-test::one_step_governed_pva_direct,synthetic-feasible-v1,synthetic,oscillatory__test__005,test,120805,clean,one_step_governed_pva_direct,278,1,command_p,277,0.01,2.77,0,joint_0,0.929375814905544,0.8363256749506305,-5.903757077242661,1.0110141738005378,1.114174965719371
