run_id,dataset_id,session_id,trajectory_id,split,seed,scenario_id,method_id,n_samples,n_joints,output_field,event_id,event_type,event_time_s,joint_index,joint_id,lag_samples,lag_s,lag_aligned_rmse,window_before_s,window_after_s,max_lag_s
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,stop-j0-k300,stop,3.0,0,joint_0,5,0.04999999999999982,0.0021330341464700646,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__004,test,150804,clean,deployed_p_only,351,1,command_p,reversal-j0-k302,reversal,3.005,0,joint_0,5,0.04999999999999982,0.0019718935909836563,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k14,stop,0.14,0,joint_0,1,0.010000000000000009,0.00020322080698203775,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k43,stop,0.43,0,joint_0,2,0.020000000000000018,0.00026098175916969816,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k72,stop,0.72,0,joint_0,2,0.020000000000000018,0.00024348679027140185,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k101,stop,1.01,0,joint_0,2,0.020000000000000018,0.0002606573445788264,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k130,stop,1.3,0,joint_0,2,0.020000000000000018,0.00026026306955363526,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k159,stop,1.59,0,joint_0,2,0.020000000000000018,0.000259743983635036,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k188,stop,1.8800000000000001,0,joint_0,2,0.020000000000000018,0.00025912279899681313,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k217,stop,2.17,0,joint_0,2,0.020000000000000018,0.00025844011333372687,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k246,stop,2.46,0,joint_0,2,0.020000000000000018,0.00025798439674459806,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k275,stop,2.75,0,joint_0,2,0.020000000000000018,0.00025750895564542915,0.1,0.1,0.05
paper-evidence-v1-locked-test::deployed_p_only,synthetic-feasible-v1,synthetic,rapid_reversal__test__005,test,150805,clean,deployed_p_only,387,1,command_p,stop-j0-k304,stop,3.04,0,joint_0,2,0.020000000000000018,0.00025698924173392953,0.1,0.1,0.05
