method,governor_position_distortion_rmse,one_step_reachable_rate
jerk_qp_pva_ruckig,0.005235181931835475,1.0
jerk_qp_pva_ruckig,0.005760700121802329,1.0
jerk_qp_pva_ruckig,0.005932571158787339,1.0
jerk_qp_pva_ruckig,0.006867320946967143,1.0
jerk_qp_pva_ruckig,0.007044824946340857,1.0
jerk_qp_pva_ruckig,0.007312302160022991,1.0
jerk_qp_pva_ruckig,0.007321804047449629,1.0
jerk_qp_pva_ruckig,0.007374336618913616,1.0
jerk_qp_pva_ruckig,0.008171040005441752,1.0
jerk_qp_pva_ruckig,0.008218237634858622,1.0
jerk_qp_pva_ruckig,0.009127062210068834,1.0
jerk_qp_pva_ruckig,0.009235334920994724,1.0
jerk_qp_pva_ruckig,0.009533927941001663,1.0
jerk_qp_pva_ruckig,0.010371812471646124,1.0
jerk_qp_pva_ruckig,0.012023522592896492,1.0
jerk_qp_pva_ruckig,0.012195929974446141,1.0
jerk_qp_pva_ruckig,0.012372862671065769,1.0
jerk_qp_pva_ruckig,0.012718473812794286,1.0
jerk_qp_pva_ruckig,0.013099081965005427,1.0
jerk_qp_pva_ruckig,0.013547632170890158,1.0
jerk_qp_pva_ruckig,0.013665444209778312,1.0
jerk_qp_pva_ruckig,0.013713419026597338,1.0
jerk_qp_pva_ruckig,0.015590570557613101,1.0
jerk_qp_pva_ruckig,0.01594275569411582,1.0
jerk_qp_pva_ruckig,0.01872330867245268,1.0
jerk_qp_pva_ruckig,0.018918881143392213,1.0
jerk_qp_pva_ruckig,0.02164305379849208,1.0
jerk_qp_pva_ruckig,0.02192237744547907,1.0
jerk_qp_pva_ruckig,0.02369532959687607,1.0
jerk_qp_pva_ruckig,0.02406278261293332,1.0
jerk_qp_pva_ruckig,0.0246913274093516,1.0
jerk_qp_pva_ruckig,0.02686553386843202,1.0
jerk_qp_pva_ruckig,0.03835330071324566,1.0
jerk_qp_pva_ruckig,0.041513309372775906,1.0
jerk_qp_pva_ruckig,0.044431501860208375,1.0
jerk_qp_pva_ruckig,0.050462741704888375,1.0
jerk_qp_pva_ruckig,0.07593398913594064,1.0
jerk_qp_pva_ruckig,0.08225978075254507,1.0
jerk_qp_pva_ruckig,0.09726420355900219,1.0
jerk_qp_pva_ruckig,0.0984525407591763,1.0
jerk_qp_pva_ruckig,0.09994699119997566,1.0
jerk_qp_pva_ruckig,0.11819945927425918,1.0
jerk_qp_pva_ruckig,0.12493272118756373,1.0
jerk_qp_pva_ruckig,0.13664457415355188,1.0
jerk_qp_pva_ruckig,0.16106111900504375,1.0
jerk_qp_pva_ruckig,0.17239734168093854,1.0
jerk_qp_pva_ruckig,0.2268208574455839,1.0
jerk_qp_pva_ruckig,0.28684591709319573,1.0
jerk_qp_pva_ruckig,0.4246255336880991,1.0
jerk_qp_pva_ruckig,0.49883255521686326,1.0
one_step_governed_pva_direct,0.00048783488897856587,1.0
one_step_governed_pva_direct,0.000499430512078635,1.0
