plant,method,position_rmse
servo_b16_z1_d0,previous_command,0.00982598923134985
servo_b16_z1_d0,previous_command,0.010315681769024606
servo_b16_z1_d0,previous_command,0.011259837834593058
servo_b16_z1_d0,previous_command,0.012432720303279668
servo_b16_z1_d0,previous_command,0.012569783179168237
servo_b16_z1_d0,previous_command,0.014571752435492868
servo_b16_z1_d0,previous_command,0.015380346807271092
servo_b16_z1_d0,previous_command,0.01728363607913073
servo_b16_z1_d0,previous_command,0.037543309033035176
servo_b16_z1_d0,previous_command,0.04825034831297755
servo_b16_z1_d0,previous_command,0.10384843050616183
servo_b16_z1_d0,previous_command,0.11157257295710768
servo_b16_z1_d10,hybrid,0.007743214201875854
servo_b16_z1_d10,hybrid,0.009710196616015947
servo_b16_z1_d10,hybrid,0.01598932372934394
servo_b16_z1_d10,hybrid,0.01600909545005178
servo_b16_z1_d10,hybrid,0.02523903099955147
servo_b16_z1_d10,hybrid,0.031883321749699205
servo_b16_z1_d10,hybrid,0.035403948240584814
servo_b16_z1_d10,hybrid,0.03841244595138546
servo_b16_z1_d10,hybrid,0.03959652565850475
servo_b16_z1_d10,hybrid,0.04204929763798287
servo_b16_z1_d10,hybrid,0.07501624280874775
servo_b16_z1_d10,hybrid,0.08113102752970452
servo_b16_z1_d10,hybrid,0.139634128672753
servo_b16_z1_d10,hybrid,0.14934604533066603
servo_b16_z1_d10,hybrid,0.44592648630426673
servo_b16_z1_d10,hybrid,0.45975584694922644
servo_b16_z1_d10,hybrid,0.9443112873421725
servo_b16_z1_d10,hybrid,0.9694263558298702
servo_b16_z1_d10,hybrid,1.169778953153171
servo_b16_z1_d10,hybrid,1.6595300725639057
servo_b16_z1_d10,hybrid,2.125419435938823
servo_b16_z1_d10,hybrid,2.5727858155080496
servo_b16_z1_d10,hybrid,3.7697452259610267
servo_b16_z1_d10,hybrid,5.0640611625920116
servo_b16_z1_d10,measured,0.012154483042074461
servo_b16_z1_d10,measured,0.014418190493130572
servo_b16_z1_d10,measured,0.01594527331631228
servo_b16_z1_d10,measured,0.01784206987923564
servo_b16_z1_d10,measured,0.030858049945904683
servo_b16_z1_d10,measured,0.03165103146944742
servo_b16_z1_d10,measured,0.03562441736167485
servo_b16_z1_d10,measured,0.037811169664889475
servo_b16_z1_d10,measured,0.04553281827727315
servo_b16_z1_d10,measured,0.04778804919364064
servo_b16_z1_d10,measured,0.07507946965835287
servo_b16_z1_d10,measured,0.08268076989645667
servo_b16_z1_d10,measured,0.140997696485665
servo_b16_z1_d10,measured,0.147953214446728
servo_b16_z1_d10,measured,0.45250191459091776
servo_b16_z1_d10,measured,0.46144571373391796
servo_b16_z1_d10,measured,0.9465068740182759
servo_b16_z1_d10,measured,0.9484253072688905
servo_b16_z1_d10,measured,1.165173547539057
servo_b16_z1_d10,measured,1.6624772603032312
servo_b16_z1_d10,measured,2.13178735984914
servo_b16_z1_d10,measured,2.593234729991285
servo_b16_z1_d10,measured,3.774337774861132
servo_b16_z1_d10,measured,5.0690421489713975
servo_b16_z1_d10,previous_command,0.002868144857344334
servo_b16_z1_d10,previous_command,0.0032954454758168904
servo_b16_z1_d10,previous_command,0.003961312837581596
servo_b16_z1_d10,previous_command,0.00578711624031635
servo_b16_z1_d10,previous_command,0.0066835925585755265
servo_b16_z1_d10,previous_command,0.007005270633823129
servo_b16_z1_d10,previous_command,0.0070969161156443335
servo_b16_z1_d10,previous_command,0.007720523631566501
servo_b16_z1_d10,previous_command,0.009940527340142365
servo_b16_z1_d10,previous_command,0.010584067167225692
servo_b16_z1_d10,previous_command,0.013605100085455303
