method,estimator_p_rmse,posterior_lag_s,estimator_p99_us
ca_kf_s0.0001_q100,1.7657413744137754e-06,0.0,30.76034999999999
ca_kf_s0.0001_q100,1.8440127447257847e-06,0.0,32.88432000000001
ca_kf_s0.0001_q100,1.9357101607818392e-05,0.0,32.28185999999999
ca_kf_s0.0001_q100,1.995109705332062e-06,0.0,33.37844
ca_kf_s0.0001_q100,2.0890086593867857e-06,0.0,32.942359999999994
ca_kf_s0.0001_q100,2.1192868866297178e-05,0.0,40.43144
ca_kf_s0.0001_q100,2.1254861009849017e-05,0.0,32.470400000000005
ca_kf_s0.0001_q100,2.1404552169053264e-06,0.0,31.557720000000042
ca_kf_s0.0001_q100,2.1570354402482104e-06,0.0,33.75782000000001
ca_kf_s0.0001_q100,2.1663246663973726e-06,0.0,33.96846
ca_kf_s0.0001_q100,2.283885869174876e-07,0.0,32.258680000000005
ca_kf_s0.0001_q100,2.2995490827377006e-06,0.0,32.404759999999996
ca_kf_s0.0001_q100,2.3055653812652243e-06,0.0,31.178599999999985
ca_kf_s0.0001_q100,2.4086132512107443e-06,0.0,33.13156
ca_kf_s0.0001_q100,2.4813789064762697e-06,0.0,33.17344
ca_kf_s0.0001_q100,3.160635448151641e-06,0.0,32.73738
ca_kf_s0.0001_q100,3.1790859829949926e-06,0.0,33.26812
ca_kf_s0.0001_q100,3.203166807343207e-07,0.0,30.47223
ca_kf_s0.0001_q100,3.2300566142904236e-06,0.0,34.49594000000001
ca_kf_s0.0001_q100,3.321974011795373e-06,0.0,34.251919999999984
ca_kf_s0.0001_q100,3.5572477790106034e-05,0.0,40.725429999999996
ca_kf_s0.0001_q100,3.5832483151575486e-07,0.0,33.53972000000001
ca_kf_s0.0001_q100,3.884612569316246e-05,0.0,32.16634
ca_kf_s0.0001_q100,3.885656083159555e-05,0.0,33.042
ca_kf_s0.0001_q100,4.530525951703785e-06,0.0,32.740339999999996
ca_kf_s0.0001_q100,4.767968051387197e-05,0.0,32.67727999999999
ca_kf_s0.0001_q100,4.956387611676807e-06,0.0,32.4975
ca_kf_s0.0001_q100,5.029070818826174e-06,0.0,32.383759999999995
ca_kf_s0.0001_q100,5.076210865254159e-06,0.0,31.599840000000004
ca_kf_s0.0001_q100,5.136852797916022e-06,0.0,33.164500000000004
ca_kf_s0.0001_q100,5.327774187396913e-06,0.0,32.45336000000001
ca_kf_s0.0001_q100,5.35247142357969e-06,0.0,34.09507
ca_kf_s0.0001_q100,5.478422257869922e-07,0.0,32.13295999999998
ca_kf_s0.0001_q100,5.5902049860296186e-06,0.0,40.92875
ca_kf_s0.0001_q100,6.232761798984498e-07,0.0,33.3604
ca_kf_s0.0001_q100,6.793333714427187e-06,0.0,32.417
ca_kf_s0.0001_q100,6.839330146371034e-07,0.0,30.86703
ca_kf_s0.0001_q100,7.257056105085178e-06,0.0,41.32171000000001
ca_kf_s0.0001_q100,7.33359141218822e-06,0.0,40.334
ca_kf_s0.0001_q100,7.588929788997777e-05,0.0,32.85688
ca_kf_s0.0001_q100,7.869767824048534e-06,0.0,32.8836
ca_kf_s0.0001_q100,7.874810671365414e-07,0.0,32.33975999999998
ca_kf_s0.0001_q100,8.152913525920338e-06,0.0,40.441559999999996
ca_kf_s0.0001_q100,8.3746458775035e-06,0.0,31.768060000000002
ca_kf_s0.0001_q100,9.571800124824227e-06,0.0,33.30538
ca_kf_s0.0001_q1000,1.0220596655643817e-05,0.0,34.39061999999999
ca_kf_s0.0001_q1000,1.0617487756024362e-06,0.0,32.38701999999998
ca_kf_s0.0001_q1000,1.0764653868227197e-06,0.0,33.87164
ca_kf_s0.0001_q1000,1.0946037241133068e-07,0.0,31.835759999999972
ca_kf_s0.0001_q1000,1.113870011624659e-06,0.0,32.00492000000001
ca_kf_s0.0001_q1000,1.1855380100161533e-05,0.0,31.53942999999999
ca_kf_s0.0001_q1000,1.213433606850991e-06,0.0,33.125
ca_kf_s0.0001_q1000,1.2151888575569732e-05,0.0,31.932259999999985
ca_kf_s0.0001_q1000,1.3549985051602107e-07,0.0,31.330000000000013
ca_kf_s0.0001_q1000,1.4390926057588603e-06,0.0,32.02562
ca_kf_s0.0001_q1000,1.4502338796955862e-05,0.0,33.5725
