trajectory_id,follower,position_rmse
stop_and_go__v3__test__010,direct,0.014238639273957627
stop_and_go__v3__test__010,ruckig,0.014238639274339474
stop_and_go__v3__test__011,direct,0.010974756433106738
stop_and_go__v3__test__011,ruckig,0.010974756433106893
stop_and_go__v3__test__012,direct,0.0023109867087331526
stop_and_go__v3__test__012,ruckig,0.0023109867080747387
stop_and_go__v3__test__013,direct,0.0053714956434211805
stop_and_go__v3__test__013,ruckig,0.005371494949308998
stop_and_go__v3__test__014,direct,0.011188241387195607
stop_and_go__v3__test__014,ruckig,0.011188241373712979
stop_and_go__v3__test__015,direct,0.010810320852882641
stop_and_go__v3__test__015,ruckig,0.01081032099494752
stop_and_go__v3__test__016,direct,0.002160587072887914
stop_and_go__v3__test__016,ruckig,0.0021605870730943655
stop_and_go__v3__test__017,direct,0.008381465540214635
stop_and_go__v3__test__017,ruckig,0.008381466118667715
stop_and_go__v3__test__018,direct,0.008685220969473908
stop_and_go__v3__test__018,ruckig,0.008685220969473887
stop_and_go__v3__test__019,direct,0.01729507118257248
stop_and_go__v3__test__019,ruckig,0.01729507061990742
