experiment,dataset,method_id,method,result_group,target_components,derivative_source,causal,future_samples,native_delay_samples,target_timing,evaluation_start_index,evaluation_stop_index_exclusive,sweep_type,sweep_value,max_velocity_limit,max_acceleration_limit,max_jerk_limit,minimum_duration_ms,rmse,mae,max_error,best_lag_ms,lag_aligned_rmse,raw_target_feasible_rate,target_projection_rate,projection_velocity_rmse,projection_acceleration_rmse,raw_target_max_velocity,raw_target_max_acceleration,raw_target_max_sampled_jerk,projected_target_max_velocity,projected_target_max_acceleration,trajectory_duration_p50_ms,trajectory_duration_p90_ms,trajectory_duration_p99_ms,reachable_within_10ms_rate,output_max_velocity,output_max_acceleration,output_max_new_jerk,output_max_sampled_jerk,output_velocity_saturation_rate,output_acceleration_saturation_rate,output_new_jerk_saturation_rate,ruckig_compute_p99_us,ruckig_compute_max_us,settle_time_to_1e3_ms,settle_max_error,settle_final_error
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,200.0,4.1,8.2,200.0,10.0,0.009275317576841441,0.007550334543084186,0.015060871019032473,10.0,7.839818567170534e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156249999987,0.0,13.465995800230068,0.0,0.0,0.0,2.0532499999999896,3.125,0.0,0.0,0.0
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,800.0,4.1,8.2,800.0,10.0,0.00927531757684144,0.0075503345430841815,0.015060871019032473,10.0,8.841863245808707e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.7851562500000036,0.0,13.465995800213637,0.0,0.0,0.0,1.751229999999999,1.833,0.0,3.597122599785507e-14,3.597122599785507e-14
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,1600.0,4.1,8.2,1600.0,10.0,0.009275317576841434,0.00755033454308418,0.015060871019032473,10.0,1.0390021896536472e-16,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.7851562499999964,0.0,13.465995800213658,0.0,0.0,0.0,1.7525199999999976,2.291,0.0,1.865174681370263e-14,1.865174681370263e-14
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,3200.0,4.1,8.2,3200.0,10.0,0.009275317576841432,0.00755033454308418,0.015060871019032418,10.0,1.0096427172669101e-16,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799294,4.78515625,0.0,13.465995800213614,0.0,0.0,0.0,1.085229999999999,1.5,0.0,9.325873406851315e-15,9.325873406851315e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,4000.0,4.1,8.2,4000.0,10.0,0.009275317576841432,0.007550334543084183,0.015060871019032418,10.0,9.668300809508334e-17,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799291,4.785156250000001,0.0,13.465995800213681,0.0,0.0,0.0,1.084,1.292,0.0,7.549516567451064e-15,7.549516567451064e-15
limit_sensitivity,quadratic_with_extremum,pva_truth,PVA · analytic truth,core,pva,analytic_truth,True,0,0,target[k] -> output[k+1],3,301,jerk,8000.0,4.1,8.2,8000.0,10.0,0.00927531757684143,0.007550334543087083,0.015060871019032362,10.0,5.0287685341242926e-14,1.0,0.0,0.0,0.0,1.5061680135799291,4.78515625,13.465995800213614,1.5061680135799291,4.78515625,10.0,10.0,10.0,1.0,1.5061680135799294,4.785156250000001,0.0,13.465995800213726,0.0,0.0,0.0,1.083,1.209,0.0,3.9968028886505635e-15,3.9968028886505635e-15
limit_sensitivity,quadratic_with_extremum,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,acceleration,4.1,4.1,4.1,4000.0,10.0,0.023603848297298856,0.01617179294433622,0.0612006276289023,20.0,0.012289349987546754,1.0,0.0,0.0,0.0,1.5060871019032418,0.0,0.0,1.5060871019032418,0.0,12.159615764019383,214.4285960654778,1183.8238826606175,0.2214765100671141,1.5932496442185793,4.1,4000.0,819.9999999999999,0.0,0.6006711409395973,0.17785234899328858,1.4605199999999976,2.25,0.0,2.220446049250313e-16,2.220446049250313e-16
limit_sensitivity,quadratic_with_extremum,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,acceleration,6.0,4.1,6.0,4000.0,10.0,0.010328444006801179,0.008324572844861084,0.01761379864908369,10.0,0.001299869145190685,1.0,0.0,0.0,0.0,1.5060871019032418,0.0,0.0,1.5060871019032418,0.0,10.905144778620105,337.35191861061406,845.0865556626593,0.3389261744966443,1.5104060274158173,6.0,4000.0,1028.5576620160277,0.0,0.2684563758389262,0.3926174496644295,1.6312399999999943,2.416,0.0,2.220446049250313e-16,2.220446049250313e-16
limit_sensitivity,quadratic_with_extremum,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,acceleration,8.2,4.1,8.2,4000.0,10.0,0.010032706824758316,0.008110963003247786,0.017616238770525594,10.0,0.001046280990634701,1.0,0.0,0.0,0.0,1.5060871019032418,0.0,0.0,1.5060871019032418,0.0,10.22582910017279,12.640243381075486,552.0779404591149,0.41946308724832215,1.5103430833826252,8.2,4000.0,819.9999999999999,0.0,0.09060402684563758,0.4899328859060403,1.7562699999999942,2.542,0.0,2.220446049250313e-16,2.220446049250313e-16
limit_sensitivity,quadratic_with_extremum,pv_backward,PV · historical backward FD,core,pv,backward_fd,True,0,0,target[k] -> output[k+1],3,301,acceleration,12.0,4.1,12.0,4000.0,10.0,0.020947674444647815,0.01392323784173813,0.07051174366928636,20.0,0.015572570187838529,1.0,0.0,0.0,0.0,1.5060871019032418,0.0,0.0,1.5060871019032418,0.0,10.318854020781504,69.55584758736546,370.13596836350257,0.3959731543624161,1.5099956184281274,12.0,4000.0,2400.0,0.0,0.2214765100671141,0.3825503355704698,1.3427299999999922,1.625,0.0,2.220446049250313e-16,2.220446049250313e-16
